Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure
14017	14475	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	e a [/2]	EMP
14475	17254	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	e atravessando a Amazonas	TOP
17254	18257	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	do outro lado	TOP
18257	18986	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	como se fosse a &pr [/2]	SCA
18986	21358	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	a continuação da Selênio	TOP
21358	23217	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	é a rua Japão	COM
23217	24876	e aí eles iam pra essa [/3] &he / eles tinham essa turma / então era a turma do bairro / assim / e aí tinha gente / que era da / Selênio / que é a [/1] a rua do poste / e a [/2] e atravessando a Amazonas / do outro lado / como se fosse a &pr [/2] a continuação da Selênio / é a rua Japão / eu acho //	eu acho	PAR
24876	26224	e aí ali / era [/1] tinha muita gente que era da Japão //	e aí ali	TOP
26224	26615	e aí ali / era [/1] tinha muita gente que era da Japão //	era [/1]	EMP
26615	29137	e aí ali / era [/1] tinha muita gente que era da Japão //	tinha muita gente que era da Japão	COM
29137	32623	e que <descia> pra [/1] pra Selênio //	e que <descia> pra [/1]	SCA
32623	33444	e que <descia> pra [/1] pra Selênio //	pra Selênio	COM
33975	34199	então &t [/1] era povo da região assim / mas &m [/1] meio de perto //	então &t [/1]	SCA
34199	35962	então &t [/1] era povo da região assim / mas &m [/1] meio de perto //	era povo da região assim	COB
35962	36289	então &t [/1] era povo da região assim / mas &m [/1] meio de perto //	mas &m [/1]	SCA
36289	37581	então &t [/1] era povo da região assim / mas &m [/1] meio de perto //	meio de perto	COM
38364	39197	e aí tinha &m [/1] &he / gente com irmãos / então &e [/1] sempre uma turma muito grande assim //	e aí tinha &m [/1]	SCA
39197	39512	e aí tinha &m [/1] &he / gente com irmãos / então &e [/1] sempre uma turma muito grande assim //	&he	TMT
39512	40668	e aí tinha &m [/1] &he / gente com irmãos / então &e [/1] sempre uma turma muito grande assim //	gente com irmãos	COB
40668	41332	e aí tinha &m [/1] &he / gente com irmãos / então &e [/1] sempre uma turma muito grande assim //	então &e [/1]	SCA
41332	42909	e aí tinha &m [/1] &he / gente com irmãos / então &e [/1] sempre uma turma muito grande assim //	sempre era uma turma muito grande assim	COM
44590	46583	&he / aí minha mãe conheceu meu pai lá //	&he 	TMT
46583	48256	&he / aí minha mãe conheceu meu pai lá //	aí minha mãe conheceu meu pai lá	COM
49260	50359	porque meu pai era da turma //	porque meu pai era da turma	COM
50773	52436	mas eles nũ tiveram nada / nem [/1] assim / nem tinha [/2] nem tinham interesse um pelo outro / sabe //	mas eles nũ tiveram nada	COB
52436	52845	mas eles nũ tiveram nada / nem [/1] assim / nem tinha [/2] nem tinham interesse um pelo outro / sabe //	nem [/1]	EMP
52845	53049	mas eles nũ tiveram nada / nem [/1] assim / nem tinha [/2] nem tinham interesse um pelo outro / sabe //	assim	PAR
53049	53575	mas eles nũ tiveram nada / nem [/1] assim / nem tinha [/2] nem tinham interesse um pelo outro / sabe //	nem tinha [/2]	EMP
53575	55454	mas eles nũ tiveram nada / nem [/1] assim / nem tinha [/2] nem tinham interesse um pelo outro / sabe //	nem tinham interesse um pelo outro	COM
55454	55796	mas eles nũ tiveram nada / nem [/1] assim / nem tinha [/2] nem tinham interesse um pelo outro / sabe //	sabe	AUX
56792	57582	&he / &t [/1] meu pai gostava de outra menina / minha mãe gostava de outro menino / então assim / é &ou [/1] outra coisa assim //	&he	TMT
57582	57851	&he / &t [/1] meu pai gostava de outra menina / minha mãe gostava de outro menino / então assim / é &ou [/1] outra coisa assim //	&t [/1]	EMP
57851	59567	&he / &t [/1] meu pai gostava de outra menina / minha mãe gostava de outro menino / então assim / é &ou [/1] outra coisa assim //	meu pai gostava de outra menina	COB
59567	60769	&he / &t [/1] meu pai gostava de outra menina / minha mãe gostava de outro menino / então assim / é &ou [/1] outra coisa assim //	minha mãe gostava de outro menino	COB
60769	61119	&he / &t [/1] meu pai gostava de outra menina / minha mãe gostava de outro menino / então assim / é &ou [/1] outra coisa assim //	então assim	AUX
61119	61878	&he / &t [/1] meu pai gostava de outra menina / minha mãe gostava de outro menino / então assim / é &ou [/1] outra coisa assim //	é &ou [/1]	SCA
61878	62775	&he / &t [/1] meu pai gostava de outra menina / minha mãe gostava de outro menino / então assim / é &ou [/1] outra coisa assim //	outra coisa assim	COM
62775	65247	eles eram só amigos e / contemporâneos assim // 	eles eram só amigos e	COB
65247	66284	eles eram só amigos e / contemporâneos assim // 	contemporâneos assim	COM
66284	67570	nũ / tinham muita relação não //	nũ	SCA
67570	68606	nũ / tinham muita relação não //	tinham muita relação não	COM
69846	71939	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	aí minha mãe	TOP
71939	72978	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	reencontrou meu pai	COB
72978	73497	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	nũ sei [/2]	EMP
73497	74483	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	nũ sei por quê	PAR
74483	76614	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	nũ sei aonde	PAR
76614	76970	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	&he	TMT
76970	79218	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	quando ela já era adulta	COB
79218	79472	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	sei lá	PAR
79472	81949	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	uns	SCA
81949	82970	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	trinta anos	COM
82970	83529	aí minha mãe / reencontrou meu pai / nũ sei [/2] nũ sei por quê / nũ sei aonde / &he / quando ela já era adulta / sei lá / uns / trinta anos / nũ sei //	nũ sei	PAR
84925	86410	e aí / &he / ela tava +	e aí	AUX
86410	87233	e aí / &he / ela tava +	&he	TMT
87233	88105	e aí / &he / ela tava +	ela tava +	UNC
88568	89410	eu nũ sei a ordem / na verdade //	eu nũ sei a ordem	COM
89410	90328	eu nũ sei a ordem / na verdade //	na verdade	PAR
90328	91366	sei se ela já tinha / ido pra Vitória / ou nũ tinha / se eles foram juntos / se eles foram separados / nũ sei direito //	sei se ela já tinha	SCA
91366	92825	sei se ela já tinha / ido pra Vitória / ou nũ tinha / se eles foram juntos / se eles foram separados / nũ sei direito //	ido pra Vitória	COB
92825	94401	sei se ela já tinha / ido pra Vitória / ou nũ tinha / se eles foram juntos / se eles foram separados / nũ sei direito //	ou nũ tinha	COB
94401	95942	sei se ela já tinha / ido pra Vitória / ou nũ tinha / se eles foram juntos / se eles foram separados / nũ sei direito //	se eles foram juntos	COB
95942	96835	sei se ela já tinha / ido pra Vitória / ou nũ tinha / se eles foram juntos / se eles foram separados / nũ sei direito //	se eles foram separados	COB
96835	97540	sei se ela já tinha / ido pra Vitória / ou nũ tinha / se eles foram juntos / se eles foram separados / nũ sei direito //	nũ sei direito	COM
98148	99168	eu acho que minha mãe foi / depois meu pai foi //	eu acho que minha mãe foi	CMM
99168	100144	eu acho que minha mãe foi / depois meu pai foi //	depois meu pai foi	CMM
100303	101138	alguma coisa assim //	alguma coisa assim	COM
102688	105821	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	mas 	AUX
105821	106851	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	aí eles foram	COB
106851	107520	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	então assim a [/1]	AUX
107520	108678	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	a relação	SCA
108678	109300	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	&d [/1]	EMP
109300	111080	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	do casamento do meu pai com a [/2]	TOP
111080	111933	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	do anterior	PAR
111933	112746	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	com a minha mãe	TOP
112746	114643	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	nũ teve [/2]	EMP
114643	116238	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	nũ foi direta	COB
116238	116571	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	assim	UNC
116571	117341	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	nũ foi que ele	SCA
117341	118182	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	conheceu minha mãe	CMM
118182	118917	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	e quis separar	CMM
118917	119457	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	nem nada disso	CMM
119457	120726	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	tipo eles &d[/1]	SCA
120726	122483	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	ele separou	COB
122483	123738	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	e aí veio pra cá	COB
123738	124858	mas / aí eles foram / então assim a [/1] a relação / &d [/1] do casamento do meu pai com a [/2] do anterior / com a minha mãe / nũ teve [/2] nũ foi direta / assim / nũ foi que ele / conheceu minha mãe / e quis separar / nem nada disso / tipo eles &d [/1] ele separou / e aí veio pra cá / e reencontrou minha mãe //	e reencontrou minha mãe	COM
126083	126614	&he / nũ sei qual foi a diferença / porque &e [/1] eu acho que meus irmãos [/3] acho que a mais velha / deve ter uns cinco / pouco mais / <de diferença> pra mim //	&he	TMT
126614	127898	&he / nũ sei qual foi a diferença / porque &e [/1] eu acho que meus irmãos [/3] acho que a mais velha / deve ter uns cinco / pouco mais / <de diferença> pra mim //	nũ sei qual foi a diferença	COB
127898	128482	&he / nũ sei qual foi a diferença / porque &e [/1] eu acho que meus irmãos [/3] acho que a mais velha / deve ter uns cinco / pouco mais / <de diferença> pra mim //	porque &e [/1]	SCA
128482	131201	&he / nũ sei qual foi a diferença / porque &e [/1] eu acho que meus irmãos [/3] acho que a mais velha / deve ter uns cinco / pouco mais / <de diferença> pra mim //	eu acho que meus irmãos [/3]	TOP
131201	135575	&he / nũ sei qual foi a diferença / porque &e [/1] eu acho que meus irmãos [/3] acho que a mais velha / deve ter uns cinco / pouco mais / <de diferença> pra mim //	acho que a mais velha	TOP
135575	138505	&he / nũ sei qual foi a diferença / porque &e [/1] eu acho que meus irmãos [/3] acho que a mais velha / deve ter uns cinco / pouco mais / <de diferença> pra mim //	deve ter uns cinco	COB
138505	140133	&he / nũ sei qual foi a diferença / porque &e [/1] eu acho que meus irmãos [/3] acho que a mais velha / deve ter uns cinco / pouco mais / <de diferença> pra mim //	pouco mais	PAR
140133	141285	&he / nũ sei qual foi a diferença / porque &e [/1] eu acho que meus irmãos [/3] acho que a mais velha / deve ter uns cinco / pouco mais / <de diferença> pra mim //	<de diferença> pra mim	COM
