Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure	
72534	73012	aí eu [/1] ele respondeu que e' tava bem / aí ele [/1] aí eu / cê sumiu né //	aí ele [/1]	
73012	73565	aí eu [/1] ele respondeu que e' tava bem / aí ele [/1] aí eu / cê sumiu né //	aí eu	
73565	73946	aí eu [/1] ele respondeu que e' tava bem / aí ele [/1] aí eu / cê sumiu né //		
73946	75344	aí eu [/1] ele respondeu que e' tava bem / aí ele [/1] aí eu / cê sumiu né //	cê sumiu né	
75344	76477	hhh tipo / bem bem chata mesmo //	hhh tipo	
76477	78459	hhh tipo / bem bem chata mesmo //	bem bem chata mesmo	
78459	78990	aí ele / quem que foi o último a mandar mensagem //	aí ele	
78990	80704	aí ele / quem que foi o último a mandar mensagem //	quem que foi o último a mandar mensagem	
80704	82470	como se isso importasse / né //	como se isso importasse	
82470	83029	como se isso importasse / né //	né	
84229	85441	aí eu falei que foi ele / aí ele ficou quieto //	aí eu falei que foi ele	
85441	86338	aí eu falei que foi ele / aí ele ficou quieto //	aí ele ficou quieto	
87273	88300	aí tipo assim / a gente conversou mais um negócio lá / aí eu fui &em [/1] saí / fui pegar minhas coisas e fui embora //	aí tipo assim	
88300	89980	aí tipo assim / a gente conversou mais um negócio lá / aí eu fui &em [/1] saí / fui pegar minhas coisas e fui embora //	a gente conversou mais um negócio lá	
89980	91265	aí tipo assim / a gente conversou mais um negócio lá / aí eu fui &em [/1] saí / fui pegar minhas coisas e fui embora //	aí eu fui &em [/1]	
91265	91967	aí tipo assim / a gente conversou mais um negócio lá / aí eu fui &em [/1] saí / fui pegar minhas coisas e fui embora //	saí	
91967	92990	aí tipo assim / a gente conversou mais um negócio lá / aí eu fui &em [/1] saí / fui pegar minhas coisas e fui embora //	fui pegar minhas coisas e fui embora	
92990	93892	a hora que eu tava indo embora / eu vi ele mexendo no celular //	a hora que eu tava indo embora	
93892	95283	a hora que eu tava indo embora / eu vi ele mexendo no celular //	eu vi ele mexendo no celular	
95744	98213	aí no que ele tava mexendo no celular eu peguei o meu ele tinha mandado mensagem / ele falou assim / ah é eu que fui o último a &resp [/1] a [/1] você foi a última a mandar mensagem / eu acho que eu abri e esqueci de responder //	aí no que ele tava mexendo no celular eu peguei o meu ele tinha mandado mensagem	
98213	98773	aí no que ele tava mexendo no celular eu peguei o meu ele tinha mandado mensagem / ele falou assim / ah é eu que fui o último a &resp [/1] a [/1] você foi a última a mandar mensagem / eu acho que eu abri e esqueci de responder //	ele falou assim	
98773	100505	aí no que ele tava mexendo no celular eu peguei o meu ele tinha mandado mensagem / ele falou assim / ah é eu que fui o último a &resp [/1] a [/1] você foi a última a mandar mensagem / eu acho que eu abri e esqueci de responder //	ah é eu que fui o último a &resp [/1]	
100505	101297	aí no que ele tava mexendo no celular eu peguei o meu ele tinha mandado mensagem / ele falou assim / ah é eu que fui o último a &resp [/1] a [/1] você foi a última a mandar mensagem / eu acho que eu abri e esqueci de responder //	a [/1]	
101297	102970	aí no que ele tava mexendo no celular eu peguei o meu ele tinha mandado mensagem / ele falou assim / ah é eu que fui o último a &resp [/1] a [/1] você foi a última a mandar mensagem / eu acho que eu abri e esqueci de responder //	você foi a última a mandar mensagem	
102970	105348	aí no que ele tava mexendo no celular eu peguei o meu ele tinha mandado mensagem / ele falou assim / ah é eu que fui o último a &resp [/1] a [/1] você foi a última a mandar mensagem / eu acho que eu abri e esqueci de responder //	eu acho que eu abri e esqueci de responder	
105348	106469	aí ele falou bem assim / vou responder uns stories pra [/1] pra tentar consertar //	aí ele falou bem assim	
106469	107716	aí ele falou bem assim / vou responder uns stories pra [/1] pra tentar consertar //		
107716	109747	aí ele falou bem assim / vou responder uns stories pra [/1] pra tentar consertar //	vou responder uns stories pra [/1]	
109747	110999	aí ele falou bem assim / vou responder uns stories pra [/1] pra tentar consertar //	pra tentar consertar	
113044	113771	aí eu fiquei assim / eu fiquei meia-hora olhando pra aquilo //	aí eu fiquei assim	
113771	115093	aí eu fiquei assim / eu fiquei meia-hora olhando pra aquilo //	eu fiquei meia-hora olhando pra aquilo	
115795	116622	aí eu não respondi //	aí eu não respondi	
116622	116948	aí eu [/1] eu [/1] eu respirei / porque eu [/1] eu não ia ser / uma pessoa agradável se eu respondesse //	aí eu [/1]	
116948	117149	aí eu [/1] eu [/1] eu respirei / porque eu [/1] eu não ia ser / uma pessoa agradável se eu respondesse //	eu [/1]	
117149	117889	aí eu [/1] eu [/1] eu respirei / porque eu [/1] eu não ia ser / uma pessoa agradável se eu respondesse //	eu respirei	
117889	118314	aí eu [/1] eu [/1] eu respirei / porque eu [/1] eu não ia ser / uma pessoa agradável se eu respondesse //	porque eu [/1]	
118314	119479	aí eu [/1] eu [/1] eu respirei / porque eu [/1] eu não ia ser / uma pessoa agradável se eu respondesse //	eu não ia ser	
119479	120780	aí eu [/1] eu [/1] eu respirei / porque eu [/1] eu não ia ser / uma pessoa agradável se eu respondesse //	uma pessoa agradável se eu respondesse	
120780	121286	respirei / aí eu fiquei uns [/1] uns dias sem responder aí <respondi> //	respirei	
121286	121779	respirei / aí eu fiquei uns [/1] uns dias sem responder aí <respondi> //	aí eu fiquei uns [/1]	
121779	123425	respirei / aí eu fiquei uns [/1] uns dias sem responder aí <respondi> //	uns dias sem responder aí <respondi>	
124258	125037	ai eu nũ aguentei //	ai eu nũ aguentei	
126391	127419	mas aí foi / a gente continuou &con [/1] a [/1] conversando ele parou de novo e eu não vou chamar de novo //	mas aí foi	
127419	128068	mas aí foi / a gente continuou &con [/1] a [/1] conversando ele parou de novo e eu não vou chamar de novo //	a gente continuou &con [/1]	
128068	128240	mas aí foi / a gente continuou &con [/1] a [/1] conversando ele parou de novo e eu não vou chamar de novo //	a [/1]	
128240	131160	mas aí foi / a gente continuou &con [/1] a [/1] conversando ele parou de novo e eu não vou chamar de novo //	conversando ele parou de novo e eu não vou chamar de novo	
131438	132588	porque nũ / <sei> / é //	porque nũ	
132588	133588	porque nũ / <sei> / é //	<sei>	
133588	134158	porque nũ / <sei> / é //	é	
134158	135560	nũ sei que que o menino quer //	nũ sei que que o menino quer	
135908	136716	aí deixei //	aí deixei	
136716	137501	aí do nada / eu tava [/2] eu voltei a fazer terapia / aí eu tava [/1] tinha terminado de fazer minha sessão eu catei o celular e ele / tamo nessa de não se falar de novo //	aí do nada	
137501	138040	aí do nada / eu tava [/2] eu voltei a fazer terapia / aí eu tava [/1] tinha terminado de fazer minha sessão eu catei o celular e ele / tamo nessa de não se falar de novo //	eu tava [/2]	
138040	139167	aí do nada / eu tava [/2] eu voltei a fazer terapia / aí eu tava [/1] tinha terminado de fazer minha sessão eu catei o celular e ele / tamo nessa de não se falar de novo //	eu voltei a fazer terapia	
139167	140189	aí do nada / eu tava [/2] eu voltei a fazer terapia / aí eu tava [/1] tinha terminado de fazer minha sessão eu catei o celular e ele / tamo nessa de não se falar de novo //		
140189	141100	aí do nada / eu tava [/2] eu voltei a fazer terapia / aí eu tava [/1] tinha terminado de fazer minha sessão eu catei o celular e ele / tamo nessa de não se falar de novo //	aí eu tava [/1]	
141100	144181	aí do nada / eu tava [/2] eu voltei a fazer terapia / aí eu tava [/1] tinha terminado de fazer minha sessão eu catei o celular e ele / tamo nessa de não se falar de novo //	tinha terminado de fazer minha sessão eu catei o celular e ele	
144181	146283	aí do nada / eu tava [/2] eu voltei a fazer terapia / aí eu tava [/1] tinha terminado de fazer minha sessão eu catei o celular e ele / tamo nessa de não se falar de novo //	tamo nessa de não se falar de novo	
148719	149270	aí fiquei //	aí fiquei	
150900	152506	eu quase fiz isso hhh //	eu quase fiz isso hhh	
152816	157395	eu tive que esperar uma semana pa poder contar isso pra ela e eu fiquei muito angustiada porque eu falei vei / esse menino tá brincando muito com a minha cara //	eu tive que esperar uma semana pa poder contar isso pra ela e eu fiquei muito angustiada porque eu falei vei	
157395	159059	eu tive que esperar uma semana pa poder contar isso pra ela e eu fiquei muito angustiada porque eu falei vei / esse menino tá brincando muito com a minha cara //	esse menino tá brincando muito com a minha cara	
